parent,child
communication.n.02,visual_communication.n.01
communication.n.02,message.n.01
communication.n.02,language.n.01
communication.n.02,voice.n.02
communication.n.02,voice.n.06
rank.n.02,second.n.05
status.n.01,rank.n.02
status.n.01,holy_order.n.01
status.n.01,nobility.n.03
status.n.01,face.n.11
status.n.01,legal_status.n.01
status.n.01,high_status.n.01
status.n.01,equality.n.02
status.n.01,low_status.n.01
state.n.02,status.n.01
state.n.02,being.n.01
state.n.02,illumination.n.02
state.n.02,degree.n.02
state.n.02,action.n.02
state.n.02,condition.n.01
state.n.02,situation.n.01
state.n.02,feeling.n.01
state.n.02,condition.n.03
state.n.02,hostility.n.02
state.n.02,office.n.04
state.n.02,imperfection.n.01
